Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
4603827,1.234741,1.868861,5.345757,53.830002,-105.699997,-89.949997,61.236698,-234.748138,-51.97636
4603847,1.974149,3.316571,4.48431,37.59,-94.639999,-76.370003,59.931168,-231.350449,-52.346615
4603867,2.648949,3.364429,3.857368,12.11,-83.160004,-68.529999,64.597313,-233.701248,-49.570316
4603882,2.687236,3.053351,3.261534,-9.38,-68.739998,-61.18,63.847111,-233.063248,-51.13443
4603902,2.440766,2.519732,3.101209,-15.4,-52.009998,-53.549999,63.923359,-232.006866,-50.386932
4603922,1.749216,1.914326,3.354857,-14.0,-37.099998,-45.920002,62.756969,-229.97879,-52.402771
4603942,1.055272,1.215597,4.005728,-12.53,-26.950001,-39.41,61.942436,-232.755188,-52.468918
4603957,0.306292,0.607799,4.402951,-17.57,-22.610001,-37.380001,64.062927,-233.096619,-50.861412
4603977,0.136396,0.323043,3.701829,-25.27,-20.02,-38.43,62.520103,-232.310364,-51.412636
4603997,0.373294,-0.040679,3.070101,-28.700001,-12.81,-40.670002,64.653862,-233.208542,-51.726334
4604017,0.229719,-0.653264,2.96242,-33.950001,-1.26,-45.360001,64.039375,-233.101563,-51.563065
4604032,-0.203397,-1.586498,3.278284,-44.170002,12.25,-55.439999,65.085495,-233.275238,-51.180302
4604052,-0.136396,-1.351993,2.768595,-58.59,27.299999,-64.470001,66.857834,-234.371735,-51.106178
4604072,0.404401,-0.679586,2.170368,-76.160004,47.880001,-68.18,66.232613,-235.587143,-50.896885
4604092,0.832732,-0.404401,2.742273,-99.190002,75.18,-67.269997,65.231522,-232.763718,-50.670048
4604107,1.186882,-0.650871,3.484074,-125.230003,103.739998,-64.75,64.236786,-232.859009,-50.680275
4604127,0.885376,-0.782481,3.864547,-151.130005,133.839996,-58.869999,62.37878,-232.820908,-51.782558
4604147,0.500118,0.181861,5.068179,-168.559998,161.139999,-45.57,65.042648,-234.044846,-49.774399
4604167,1.404637,0.689158,5.678371,-183.190002,182.699997,-28.0,60.704918,-231.983459,-50.080856
4604182,1.265848,0.782481,6.680999,-190.820007,210.350006,-6.79,62.165791,-239.38765,-50.141479
4604202,-0.820767,0.60062,8.949476,-184.660004,228.550003,19.25,62.612869,-238.130951,-49.501148
4604222,-1.854504,-0.547976,11.603211,-177.449997,227.5,43.400002,59.037296,-238.584763,-49.838013
4604242,-2.385729,-0.648478,13.424214,-172.970001,216.509995,62.09,56.620468,-238.987518,-51.435261
4604257,-2.694415,-3.232819,15.824301,-170.240005,203.139999,77.209999,55.513958,-238.747772,-47.460144
