Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
22904318,1.866468,2.108152,9.684099,-20.65,14.7,-0.7,126.434441,-182.898804,65.842644
22904338,1.866468,0.18904,9.420879,-26.74,11.34,0.42,126.118477,-180.167496,68.011162
22904353,2.146439,0.275184,10.227289,-25.41,9.8,1.26,127.430038,-182.243774,68.195061
22904373,1.868861,-0.210576,10.390007,-19.25,8.26,0.91,126.118477,-180.167496,68.011162
22904393,1.758787,0.043072,10.059786,-10.29,7.56,-0.35,125.389183,-182.16539,67.802071
22904413,1.658285,0.361329,10.251218,-7.63,6.09,0.0,127.675751,-185.190887,68.932671
22904428,1.720501,0.196218,10.131573,-8.54,4.48,0.42,124.062172,-181.412491,67.523872
22904448,1.687,0.040679,10.14593,-5.32,3.08,0.35,126.57312,-185.029114,66.865944
22904468,1.809039,0.260827,10.162681,-1.68,1.4,0.7,124.625175,-185.770508,65.766266
22904488,1.93347,0.308685,10.100465,-1.4,-0.07,1.05,124.009483,-182.463928,67.47802
22904503,1.847325,0.301506,9.976034,-1.75,-0.49,1.54,125.319717,-185.860626,67.988609
22904523,1.739644,0.026322,10.059786,-2.38,-1.12,1.82,124.885124,-184.194641,68.14666
22904543,1.708536,-0.01675,10.119608,-1.19,-1.89,1.61,124.350739,-183.590012,66.855568
22904563,1.765966,0.26322,10.021499,-0.56,-2.17,1.33,124.835075,-182.605255,67.447441
22904578,1.832968,0.119645,10.009535,-0.63,-2.24,0.98,127.208519,-187.771957,68.057701
22904598,1.789895,0.13161,10.035856,0.0,-2.24,0.84,123.651024,-184.261536,67.161766
22904618,1.76118,0.145967,9.985605,0.63,-2.1,0.7,124.818306,-185.249054,67.679825
22904638,1.813824,0.095716,10.01432,1.33,-2.38,0.91,126.43573,-182.059189,69.355934
22904653,1.718108,0.157932,10.057393,1.12,-2.59,0.98,125.643898,-185.390381,67.649239
22904673,1.782717,0.112467,9.99757,1.12,-2.94,1.05,123.188599,-182.321609,67.648933
22904693,1.828182,0.162718,9.983212,1.54,-3.08,1.05,126.432228,-185.259766,67.667114
22904713,1.74443,0.236898,10.050214,2.1,-3.08,0.98,126.602699,-183.702744,67.381241
22904728,1.821003,0.22254,9.932961,2.1,-3.15,1.33,124.623962,-182.570923,67.314758
22904748,1.754002,0.22254,10.007142,1.61,-3.5,1.47,124.676979,-185.759598,67.309898
22904768,1.768359,0.325435,10.172253,1.12,-3.99,1.61,126.244675,-185.220474,68.236076
22904788,1.837753,0.251255,10.162681,1.05,-4.76,1.89,125.75695,-184.885803,67.177185
22904803,1.823396,-0.122038,10.251218,5.32,-5.39,2.31,124.350739,-183.590012,66.855568
22904823,1.663071,-0.038287,10.87816,15.61,-6.86,2.66,126.809532,-183.458206,68.544685
22904843,1.564962,0.193826,10.93559,23.73,-8.19,3.01,127.050217,-182.166168,69.192665
22904863,1.737251,0.969128,11.007378,22.26,-9.66,3.57,127.244125,-185.124191,68.386642
22904878,1.792288,0.832732,11.399815,9.31,-9.03,3.29,125.264954,-184.272247,67.149063
22904898,1.507532,0.990664,11.868824,8.89,-4.83,-0.77,125.539497,-181.932739,67.281563
22904918,2.182332,0.701122,14.302412,16.379999,2.03,-4.48,124.352058,-182.269592,66.528877
22904938,2.177546,1.287385,15.058571,17.360001,14.84,-4.34,125.595146,-182.480591,66.623337
22904954,2.380944,0.926055,15.673548,11.06,29.540001,-0.98,125.068863,-183.194397,65.939583
22904974,2.744666,1.000236,16.104271,8.54,46.130001,2.03,123.753914,-179.798676,65.288666
22904994,2.703986,1.136631,15.951125,8.4,64.68,3.99,124.223228,-179.857452,66.957329
22905014,2.55084,0.722658,15.766871,9.38,82.18,5.67,124.572586,-182.301956,66.942223
22905029,2.488624,0.813589,15.525187,13.58,97.860001,7.07,123.32653,-180.491653,67.551842
22905049,2.325907,0.54319,14.931746,19.950001,111.720001,8.26,119.788658,-180.456726,64.49765
22905069,2.019614,0.866233,14.259339,27.09,123.059998,9.03,118.250542,-179.669479,64.086754
22905089,1.739644,0.978699,14.051156,32.41,132.300003,9.87,114.66127,-179.84639,64.5
22905104,1.61282,0.985878,13.685041,35.560001,140.559998,9.8,113.995956,-174.670563,66.683632
22905124,1.469246,1.165346,13.024599,37.029999,148.330002,8.54,110.043083,-176.925919,65.4692
22905144,1.083987,1.198847,12.414407,37.869999,155.190002,7.0,110.363403,-175.896912,67.331688
22905164,0.670014,1.478817,12.110508,37.029999,161.839996,4.97,108.535408,-174.252563,67.915794
22905179,0.110074,0.916484,11.196417,33.810001,166.949997,2.59,103.235909,-172.279526,68.581421
22905199,-0.24647,1.021772,10.756122,36.189999,170.589996,-0.28,101.856201,-172.578094,68.25737
22905219,-0.619763,1.139024,9.964069,36.68,172.970001,-2.17,100.374603,-171.778946,69.530434
22905239,-0.95477,0.990664,9.645813,36.189999,174.300003,-2.66,100.237534,-173.049164,71.969719
22905254,-1.103131,0.737016,8.803509,39.27,175.630005,-3.36,94.456772,-169.140182,72.561195
22905274,-1.663071,0.966735,7.939669,44.450001,175.910004,-3.85,93.014061,-171.532715,73.408417
22905294,-2.146439,1.261063,7.580733,50.470001,174.930008,-4.41,90.229012,-169.975723,75.104935
22905314,-2.548447,1.33285,6.886789,53.830002,173.809998,-6.09,88.171494,-168.021118,76.16613
22905329,-3.436216,1.564962,6.092344,55.510002,170.729996,-7.56,86.637634,-167.993561,78.564445
22905349,-3.503217,1.569748,5.34815,51.170002,164.850006,-8.26,86.126335,-168.144653,80.643883
22905369,-3.558254,1.703751,4.864782,44.66,159.389999,-8.12,80.704811,-165.917526,78.832024
22905389,-4.489096,1.593677,4.075122,38.220001,153.440002,-7.21,79.768776,-164.120758,82.521255
22905404,-5.017928,1.33285,3.634827,39.689999,145.460007,-6.65,80.007248,-165.189682,84.993706
22905424,-5.051429,1.48121,3.275891,48.299999,138.880005,-6.86,78.968346,-167.374969,86.71608
22905444,-5.156717,1.739644,2.775773,58.450001,133.559998,-7.35,74.722313,-162.933823,87.251419
22905464,-5.568297,1.873647,1.974149,61.110001,128.380005,-6.72,75.07296,-164.538712,90.749596
22905479,-6.283777,1.938256,1.543426,58.73,122.080002,-5.32,74.719643,-166.055435,91.744766
22905499,-6.779109,1.952613,1.206026,57.260002,115.360001,-4.62,74.897438,-162.337387,94.78582
22905519,-6.719286,1.95022,0.605406,57.75,108.5,-4.76,71.905113,-161.304825,94.147797
22905539,-7.049507,2.110545,-0.107681,60.130001,102.480003,-6.09,73.273193,-163.369202,96.015656
22905554,-7.243333,1.895183,-0.916484,60.970001,94.290001,-7.56,71.404884,-164.373611,96.130493
22905574,-7.757808,1.945434,-1.344814,58.450001,83.720001,-7.7,71.995895,-160.446365,100.327354
22905594,-7.776951,2.041151,-2.067473,50.330002,71.75,-7.0,72.277214,-160.745697,101.39389
22905614,-8.303391,1.85929,-2.43598,41.23,59.360001,-4.9,72.086594,-163.627121,101.445137
22905629,-8.250747,1.598463,-2.759023,38.43,47.040001,-3.85,74.530357,-164.538818,104.211052
22905649,-8.504395,1.794681,-3.113173,39.27,35.0,-4.06,70.800758,-159.66571,103.978386
22905669,-8.600112,2.022007,-3.122745,33.740002,24.15,-2.94,70.881607,-163.128311,103.644417
22905689,-8.79633,2.031579,-2.979171,24.08,14.0,-1.12,70.926636,-160.478561,104.254013
22905705,-8.858545,1.95022,-2.809274,18.969999,4.41,-0.21,70.783989,-162.309509,104.210777
22905725,-8.76283,2.380944,-2.471874,14.91,-3.85,0.7,71.607834,-164.051117,103.335785
22905745,-8.959048,2.282834,-2.258905,9.24,-10.15,1.4,70.189667,-160.878143,104.608673
22905765,-9.169623,2.462302,-1.955006,4.41,-16.17,1.47,70.347649,-162.243805,103.524414
22905780,-8.805902,2.72313,-1.488389,-1.61,-21.42,1.4,72.087456,-163.067368,103.787331
22905800,-8.987762,2.617841,-1.105524,-8.19,-24.710001,2.17,71.004089,-162.621735,103.453026
22905820,-8.822652,2.538876,-0.646085,-11.69,-27.51,3.01,69.063919,-160.441437,103.011398
22905840,-8.750865,2.517339,-0.421152,-10.08,-30.52,3.01,73.129288,-162.962158,105.200859
22905855,-8.545074,2.589127,-0.430723,-9.24,-32.830002,2.73,70.342613,-158.004669,103.434792
22905875,-8.571397,2.574769,-0.571905,-10.01,-35.279999,2.73,71.534225,-162.466705,101.934914
22905895,-8.17896,2.495803,-0.406794,-15.96,-39.41,4.97,72.146957,-164.173965,100.927231
22905915,-7.848739,2.53409,-0.342186,-19.879999,-43.610001,6.65,71.596771,-161.133392,103.432518
22905930,-7.676449,2.146439,-0.366115,-19.74,-47.110001,6.65,72.357201,-164.768051,98.717728
22905950,-7.63577,2.057901,-0.741802,-21.84,-52.150002,6.93,70.954384,-164.791687,98.863121
22905970,-7.638163,1.624785,-1.416602,-30.870001,-60.900002,9.59,72.195831,-162.082977,99.334969
22905990,-7.772165,1.306528,-1.27542,-38.849998,-74.340004,15.96,73.96521,-161.58017,100.113174
22906005,-6.812609,1.208419,-0.45226,-40.389999,-88.830002,22.049999,70.552788,-162.637955,96.163506
22906025,-6.156952,0.95477,-0.253648,-34.650002,-101.220001,25.549999,73.720703,-161.832642,97.827087
22906045,-6.204811,1.115095,-0.373294,-35.420002,-110.949997,28.77,72.270355,-162.146057,95.398079
22906065,-6.338813,0.866233,-0.112467,-45.779999,-123.410004,36.119999,75.323036,-163.725494,95.518211
22906080,-5.331399,0.739409,1.036129,-54.599998,-137.479996,43.75,73.766541,-162.181549,91.877121
22906100,-4.898283,0.610192,2.0244,-50.540001,-148.399994,47.599998,74.72963,-160.772781,90.578346
22906120,-5.183039,1.062451,2.507768,-35.139999,-156.520004,46.830002,75.214424,-159.027374,88.501343
22906140,-5.173467,1.698965,2.450338,-30.870001,-165.899994,47.670002,77.002098,-163.320465,87.447975
22906155,-4.161267,2.15601,3.417073,-38.639999,-176.889999,49.630001,79.958054,-163.040558,86.636681
22906175,-3.656363,2.06508,4.680528,-47.040001,-185.850006,49.279999,79.727249,-163.569931,83.600479
22906195,-3.441002,1.794681,6.135417,-43.189999,-191.869995,46.900002,82.896942,-160.683533,82.268494
22906215,-2.914562,2.47666,7.121294,-33.950001,-195.229996,43.82,84.338333,-159.611435,81.747955
22906230,-1.919112,3.548683,8.272284,-45.150002,-197.190002,41.93,86.404404,-162.123779,78.625229
22906250,-1.21799,3.424252,8.497216,-77.769997,-196.770004,38.709999,89.791138,-162.470291,76.017769
22906270,-1.505139,3.350071,10.375649,-106.190002,-195.089996,34.16,90.797386,-164.532074,73.262383
22906290,-0.847089,2.014829,11.887967,-107.940002,-189.979996,23.73,91.005562,-162.486328,70.259171
22906305,-0.586262,1.251491,11.64389,-83.300003,-181.720001,12.6,94.682465,-168.410889,70.445984
22906325,-0.294328,2.560412,12.000434,-60.970001,-176.259995,7.91,99.154739,-167.322876,70.188339
22906345,0.588655,3.182568,13.31414,-66.080002,-170.800003,6.93,101.861015,-168.057083,69.619499
22906365,1.067237,2.301978,14.180373,-77.840004,-159.110001,3.64,104.921829,-170.474152,66.506996
22906380,0.95477,2.022007,14.156445,-77.349998,-146.509995,-1.61,108.479317,-173.984589,67.402931
22906400,1.3496,1.792288,14.477094,-70.910004,-136.289993,-4.55,106.679611,-171.8535,64.989037
22906420,1.584105,1.710929,15.065749,-57.189999,-124.459999,-6.37,110.27742,-172.715149,66.354233
22906440,1.974149,1.502746,15.116,-43.400002,-110.599998,-7.63,112.949837,-174.496872,66.300873
22906456,1.964578,1.789895,14.450772,-37.310001,-96.809998,-7.98,112.208626,-174.13678,63.846321
22906476,2.158403,1.837753,14.611096,-43.540001,-84.489998,-4.27,116.13913,-175.566757,66.650597
22906496,2.357014,0.758552,14.340698,-45.920002,-72.940002,-1.89,117.797867,-181.967697,64.803879
22906516,2.584341,0.708301,14.065514,-33.880001,-60.060001,-3.78,119.012352,-178.425323,67.947037
22906531,2.263691,1.131845,13.108351,-22.960001,-47.599998,-7.28,120.085861,-179.152802,66.82959
22906551,1.947827,0.957163,12.213403,-22.33,-39.549999,-8.33,120.191582,-181.290024,66.870575
22906571,2.017221,0.605406,11.792251,-27.719999,-35.279999,-6.79,119.33905,-179.834244,65.732491
22906591,2.026793,0.215362,11.426136,-28.49,-32.970001,-4.2,123.4832,-183.177734,66.794273
22906606,1.832968,-0.457045,10.378042,-19.6,-31.92,-3.5,123.020767,-181.237808,67.281441
22906626,1.615213,0.361329,9.289269,-12.67,-33.599998,-4.9,120.388557,-181.327347,66.582268
22906646,1.624785,0.447474,8.34407,-17.57,-38.849998,-5.81,123.056702,-182.83017,67.559669
22906666,7.420408,-1.182097,24.137264,-26.6,-19.530001,-5.46,125.274803,-183.990387,68.600815
22906681,5.17586,2.62502,13.436179,-27.02,26.67,-6.16,125.456329,-185.351089,68.218208
22906701,-1.696572,-1.33285,9.291662,-20.51,28.91,-4.34,125.951721,-187.284058,68.713348
22906721,2.3283,-0.61737,11.043271,-8.68,10.57,0.14,124.28685,-186.724518,69.52462
22906741,1.452495,1.380708,9.794173,-2.59,6.23,0.14,124.455132,-187.047653,67.223244
22906756,2.074651,-0.169896,10.703478,-10.36,2.38,1.89,125.596771,-185.881104,70.085922
22906776,1.48121,-0.827946,9.631455,-8.26,0.56,3.43,123.524261,-184.489227,68.383926
22906796,1.785109,-0.713087,10.157895,-0.14,-0.35,2.31,124.13578,-182.996902,68.924744
22906816,1.39028,-0.373294,10.064571,1.54,-1.12,1.47,121.885468,-185.803894,68.021675
22906831,1.483603,-0.277577,9.978427,2.24,-2.03,0.63,124.703918,-187.074066,68.478561
22906851,1.734858,-0.303899,10.074143,3.64,-2.03,0.49,124.913277,-188.708679,67.766838
22906871,1.710929,-0.177075,10.090894,3.57,-2.17,0.42,122.802315,-183.845291,67.661797
22906891,1.785109,0.112467,9.920997,2.24,-2.31,0.49,125.16777,-183.173569,68.886513
22906906,1.718108,-0.227326,10.028678,1.19,-2.1,1.12,124.8517,-184.96225,69.833229
22906926,1.543426,-0.284756,10.177038,-0.28,-2.45,1.47,123.521194,-187.409927,67.866211
22906946,1.584105,-0.318257,9.987998,0.49,-2.59,1.05,123.615845,-186.62944,68.003929
22906966,1.619999,-0.24647,10.031071,1.75,-2.45,0.56,122.520103,-184.586502,68.09304
22906981,1.742037,-0.361329,10.093287,1.89,-2.45,0.28,123.418442,-186.871979,67.12114
22907001,1.682214,-0.174682,9.930569,3.08,-2.24,-0.42,123.224968,-183.634109,69.098267
22907021,1.720501,-0.181861,10.009535,3.36,-2.03,-0.28,122.500832,-184.870331,66.360626
22907041,1.624785,-0.086145,10.057393,2.31,-2.03,0.0,124.575089,-184.661911,68.907021
22907056,1.643928,-0.102895,10.01432,1.26,-2.17,0.35,125.023811,-186.324936,69.16996
22907076,1.619999,-0.174682,10.093287,1.33,-2.1,0.7,123.527657,-185.808655,68.850945
22907096,1.610427,-0.287149,10.088501,1.75,-2.52,0.91,124.701385,-185.194901,70.353737
22907116,1.648714,-0.196218,9.949712,2.31,-2.59,0.91,123.059982,-188.669586,66.804886
22907131,1.646321,-0.117252,10.011928,2.31,-2.66,0.98,123.316544,-185.774307,68.718262
22907151,1.658285,-0.282363,10.11243,2.45,-3.22,1.12,125.371529,-185.849731,69.532242
22907171,1.660678,-0.083752,10.009535,3.43,-3.85,1.19,124.071915,-185.65062,67.75383
22907191,1.641535,-0.311078,10.179431,4.9,-4.41,1.54,121.745033,-185.27388,66.153969
22907206,1.552997,0.052644,10.303863,6.37,-5.88,1.68,122.054184,-185.847137,66.891388
22907226,1.703751,0.32065,10.291898,5.11,-7.42,2.45,124.188484,-181.945465,68.970589
22907246,1.730072,0.038287,10.126787,0.14,-7.98,3.5,122.875061,-185.989456,66.720474
22907266,1.631963,-0.107681,10.275147,-3.01,-8.68,4.76,123.668549,-185.577972,68.049774
22907281,1.777931,-0.437902,10.897304,0.0,-9.66,6.23,124.765602,-186.300507,67.63398
22907301,1.809039,0.282363,11.416565,3.36,-8.12,7.07,125.857506,-187.784698,69.746727
