Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
23072303,-3.211283,-0.038287,9.66017,-87.5,-100.379997,11.62,102.56633,-166.34404,67.955841
23072318,-2.969599,-0.191433,10.437865,-76.019997,-106.75,14.84,105.842499,-169.555099,67.785233
23072338,-2.6657,0.95477,11.562531,-64.190002,-111.440002,14.7,108.252869,-170.753632,68.397743
23072358,-2.971992,1.76118,11.899932,-59.010002,-110.669998,15.96,109.702354,-170.999954,68.48455
23072378,-3.48886,1.840146,12.045899,-59.990002,-109.270004,18.83,110.372498,-171.6548,67.663055
23072393,-2.933705,1.203633,12.512516,-58.799999,-108.010002,19.809999,115.796982,-175.481232,68.770836
23072413,-2.057901,1.356779,13.036563,-52.709999,-102.760002,18.620001,113.971199,-171.475922,67.530472
23072433,-1.488389,1.474031,13.996119,-41.09,-94.5,17.43,115.099899,-173.511917,68.423668
23072453,-0.976306,1.383101,15.072928,-23.17,-85.120003,16.379999,116.113373,-177.932678,67.773415
23072468,-0.248862,1.344814,14.453165,-8.05,-75.25,17.219999,118.756332,-176.520737,68.426559
23072488,0.232112,1.672643,13.847759,-2.73,-66.5,19.110001,118.901932,-176.289093,67.765717
23072508,0.480975,1.584105,12.651305,-6.79,-58.52,21.280001,122.152443,-177.346085,69.939728
23072528,0.662836,1.198847,10.983448,-9.87,-54.599998,21.77,121.13887,-177.445343,69.368187
23072543,1.112702,1.529068,10.43308,-16.309999,-55.439999,24.01,121.534576,-175.919678,69.635986
23072563,4.166053,1.835361,17.035112,-3.29,-46.34,19.67,120.777023,-177.923523,68.584915
23072583,6.59964,3.823867,17.149973,21.98,-6.37,11.34,123.024704,-177.75737,70.141357
23072603,1.763573,5.766909,11.229918,-10.57,29.469999,-0.35,123.531715,-177.327408,69.09269
23072619,0.098109,0.875804,8.741293,-35.349998,17.5,1.05,123.886215,-179.491058,70.389
23072639,1.576926,0.303899,7.980349,-26.32,-1.05,5.6,121.039513,-178.226822,69.090134
23072659,1.809039,-0.667621,8.45893,-4.13,-6.93,9.24,119.91375,-177.790115,67.492851
23072679,0.959556,0.409187,9.935354,7.07,-7.14,7.98,123.541893,-181.285675,70.493736
23072694,0.947592,0.303899,10.148323,10.08,-5.74,8.4,121.927101,-181.834717,68.164253
23072714,0.416366,0.58387,10.069357,3.22,-3.5,4.69,120.306389,-179.18515,67.242928
23072734,0.179468,-0.07418,10.035856,-5.32,-2.59,2.31,124.259132,-181.930603,71.075539
23072754,0.476189,0.454653,10.110037,-7.21,-2.73,0.84,122.21917,-180.811661,69.184769
23072769,1.038522,0.301506,9.794173,-6.09,-2.31,-0.07,124.57859,-181.461349,70.59584
23072789,1.009807,0.636514,10.31822,-3.01,0.35,-0.91,123.650681,-180.502213,71.052452
23072809,0.74898,0.18904,10.045428,-4.27,0.98,1.05,122.822586,-178.000916,69.118233
23072829,0.705908,0.961949,10.43308,0.35,0.77,-0.14,124.937042,-179.663742,70.912094
23072844,0.65805,0.413973,10.227289,-4.34,-0.91,0.7,123.32444,-178.332626,70.598114
23072864,0.60062,0.32065,10.153109,-4.55,-1.82,1.19,121.474106,-179.892822,68.932083
23072884,0.758552,0.442688,10.311041,-3.29,-2.31,1.89,120.308571,-177.305008,69.258438
23072904,0.734623,0.244077,10.026285,-0.7,-2.17,2.03,120.898186,-178.737366,68.720207
23072919,0.758552,0.349365,9.964069,0.63,-2.31,1.75,120.311531,-178.904297,68.554352
23072939,0.780088,0.397223,9.904246,0.91,-2.59,1.05,121.138763,-181.965332,68.146385
23072959,0.780088,0.366115,10.208146,0.35,-2.66,0.7,121.25489,-178.540039,68.192047
23072979,0.763338,0.425938,10.320613,0.07,-1.68,0.56,124.073318,-180.291016,72.488914
23072994,0.655657,0.313471,10.110037,-0.63,-0.91,0.7,122.909889,-179.862244,69.768997
23073014,0.737016,0.311078,10.090894,-0.28,-0.84,0.63,121.430824,-180.942276,69.166893
23073034,0.737016,0.454653,10.117215,-0.42,-0.63,0.49,121.284897,-176.933807,69.878441
23073054,0.713087,0.445081,10.052607,-1.33,-0.56,0.49,120.466553,-178.67067,68.174179
23073069,0.708301,0.332614,10.114822,-1.75,-0.63,0.77,122.061188,-179.445999,70.269028
23073089,0.681979,0.284756,10.248825,-0.63,-0.77,0.84,121.367493,-178.796127,70.388878
23073109,0.672407,0.35415,10.191396,-0.42,-1.12,0.91,120.572372,-176.287903,69.436966
23073129,0.662836,0.308685,10.150716,-0.07,-1.68,0.84,121.06263,-178.50174,68.620689
23073144,0.720265,0.378079,10.078929,0.14,-2.03,0.7,123.276451,-179.383072,70.692596
23073164,0.717872,0.282363,10.138752,0.14,-2.17,0.7,122.289383,-181.07666,70.118622
23073184,0.672407,0.296721,10.059786,0.56,-2.24,0.56,122.528313,-181.384933,69.922188
23073204,0.708301,0.299114,10.12918,0.28,-2.17,0.63,122.312607,-176.831589,70.870972
23073219,0.713087,0.3374,10.124394,0.42,-1.82,0.35,123.792,-179.991669,71.422371
23073239,0.720265,0.323043,10.131573,-0.21,-1.68,0.21,121.53019,-180.160797,69.444946
23073259,0.672407,0.306292,10.122002,0.14,-1.61,0.28,121.85479,-179.410675,70.276672
23073279,0.696336,0.303899,10.124394,1.19,-1.4,0.28,122.461166,-178.199234,69.506058
