Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
23103914,1.356779,-0.119645,10.11243,0.77,-1.89,1.19,127.889465,-183.065201,72.251953
23103929,1.320885,-0.105288,10.023892,0.91,-1.75,1.12,125.17038,-181.013535,72.073112
23103949,1.359172,-0.086145,10.038249,0.63,-1.54,1.05,127.856499,-183.072128,71.269646
23103969,1.299349,-0.136396,10.081322,0.63,-1.26,0.98,126.416542,-178.303833,72.685295
23103989,1.301742,-0.112467,10.098072,0.84,-1.12,1.05,124.480972,-180.642548,71.162201
23104004,1.308921,-0.215362,10.026285,0.49,-1.05,1.12,125.412277,-182.921097,71.172607
23104024,1.373529,-0.174682,10.074143,0.63,-0.7,1.12,124.896301,-182.592361,69.271729
23104044,1.354386,-0.13161,10.066964,0.63,-0.63,1.05,125.84819,-183.266678,70.687866
23104064,1.316099,-0.138789,10.100465,0.42,-0.49,0.91,125.529617,-182.695389,69.669785
23104079,1.304135,-0.124431,10.100465,0.49,-0.63,0.91,126.127869,-180.646317,72.131798
23104099,1.213204,-0.165111,10.110037,0.77,-0.77,0.98,125.580994,-182.964355,70.042313
23104119,1.261063,-0.105288,10.172253,0.77,-1.26,1.19,125.908989,-183.533661,71.341064
23104139,1.270634,-0.141182,10.050214,0.7,-1.4,1.19,125.419518,-184.799271,69.437759
23104154,1.270634,-0.100502,9.999963,0.56,-1.4,1.4,125.35202,-177.854248,72.912308
23104174,1.25867,-0.126824,10.031071,0.42,-1.4,1.05,126.046913,-181.703705,71.243973
23104194,1.241919,-0.212969,10.093287,1.19,-1.33,0.63,124.201286,-183.262909,69.718269
23104214,1.270634,-0.157932,10.01432,1.05,-0.91,0.56,126.528183,-183.639664,71.31813
23104229,1.313707,-0.191433,10.050214,0.84,-0.7,0.35,124.400452,-181.420059,71.445465
23104249,1.246705,-0.169896,10.064571,0.63,-0.49,0.35,126.350929,-182.557831,70.669968
23104269,1.284992,-0.212969,10.117215,0.84,-0.63,0.42,125.479103,-181.866684,71.639442
23104289,1.239526,-0.13161,10.200967,1.75,-1.26,0.7,127.428261,-184.32486,71.190628
23104304,1.21799,-0.136396,10.12918,3.22,-2.59,1.33,123.186935,-179.882706,71.866302
23104324,1.273027,-0.098109,10.193789,5.04,-3.92,2.1,123.619453,-178.908859,70.914551
23104344,1.239526,-0.081359,10.212932,5.67,-5.18,2.66,123.65834,-182.10051,70.488701
23104364,1.232348,-0.078966,10.251218,5.25,-6.23,3.57,124.47451,-182.24382,70.17746
23104379,1.42378,-0.193826,10.265575,3.85,-7.07,4.34,126.28421,-179.092255,71.424934
23104399,1.182097,-0.212969,10.423508,4.41,-8.19,5.53,126.000679,-181.15387,72.182861
23104419,1.246705,-0.050251,10.519224,7.7,-10.43,7.49,126.759438,-182.349625,71.68544
23104439,1.268241,0.011965,10.753729,11.83,-12.04,9.59,125.329674,-181.058792,70.66217
23104455,1.433352,-0.019143,10.746551,19.040001,-13.09,11.2,126.887955,-180.521622,71.307693
23104475,1.40703,-0.011965,10.765694,27.58,-13.09,12.11,124.076736,-181.129639,69.115952
23104495,1.483603,-0.043072,11.021734,30.799999,-10.29,12.88,126.644302,-180.214355,71.363792
23104515,1.466853,0.100502,11.208382,24.85,-4.41,14.77,124.953697,-181.539932,69.457909
23104530,0.940413,-0.342186,10.923625,24.01,2.17,14.14,127.704552,-180.385056,72.167542
23104550,1.115095,-0.102895,10.588618,25.9,7.7,12.04,126.525215,-182.040359,72.022202
23104570,0.923663,0.772909,9.662563,24.57,14.07,10.85,123.905945,-178.446533,69.452538
23104590,0.665228,-1.648714,8.61447,6.58,15.05,17.780001,124.701958,-179.91423,68.906662
23104605,1.088773,-0.409187,8.305784,10.29,13.23,12.04,124.655716,-179.364395,69.845558
