Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
22945710,-3.462538,1.816217,7.508945,-91.699997,-146.160004,16.870001,81.382294,-163.930527,77.497475
22945725,-3.165817,1.598463,7.214618,-80.080002,-145.880005,11.76,85.109047,-162.684341,79.656021
22945745,-2.802095,1.485996,6.80543,-73.849998,-149.309998,7.49,88.061935,-165.325134,78.327003
22945765,-2.749451,1.76118,7.566375,-73.220001,-155.820007,5.67,89.687378,-167.492905,75.548683
22945785,-2.632199,2.014829,9.719993,-69.93,-159.949997,4.62,91.121422,-169.062622,75.541183
22945800,-2.043544,1.732466,10.102858,-61.040001,-158.690002,-1.05,92.994019,-168.337082,74.395584
22945820,-1.940648,1.96697,9.255769,-55.650002,-157.639999,-8.4,95.746101,-169.901001,71.716759
22945840,-1.67025,1.864075,9.67692,-57.260002,-161.0,-12.39,96.102806,-169.70369,71.188599
22945860,-1.153382,1.301742,11.349563,-58.029999,-164.570007,-13.79,99.305801,-171.050476,70.788216
22945875,-0.038287,0.622156,12.713521,-44.799999,-162.960007,-16.379999,104.503723,-176.16597,71.669014
22945895,0.212969,0.99545,13.108351,-22.540001,-154.350006,-18.549999,104.050751,-173.743271,68.596863
22945915,0.071787,1.495568,13.139459,-12.11,-144.339996,-17.08,106.344246,-174.40683,68.04332
22945935,0.629335,1.20124,13.632398,-11.83,-137.970001,-14.21,108.581642,-174.802399,66.976906
22945950,1.502746,0.598227,14.558453,-8.61,-129.779999,-11.06,110.422447,-177.764191,67.140472
22945970,1.624785,0.88059,14.931746,-4.27,-117.809998,-7.7,111.820129,-178.021408,65.683655
22945990,1.974149,1.40703,14.862352,-1.26,-104.300003,-6.58,116.309921,-178.249863,66.314011
22946010,2.132081,1.529068,14.233017,-3.71,-89.739998,-7.56,117.681953,-176.353012,67.201813
22946025,1.828182,1.397458,13.467287,-9.38,-77.559998,-8.82,118.000092,-177.204163,67.048798
22946045,1.971756,1.241919,13.122708,-11.34,-68.739998,-10.22,119.137794,-179.518051,67.051559
22946065,1.904755,1.323278,12.34262,-12.53,-61.389999,-10.71,121.728836,-182.637024,64.93927
22946085,1.835361,0.990664,11.423743,-13.86,-57.610001,-9.87,120.419022,-178.960449,65.599777
22946100,1.998078,0.478582,10.31822,-13.02,-57.540001,-9.17,125.160988,-180.534729,67.952477
22946120,8.580969,5.515653,26.93218,-54.459999,-39.41,-9.24,125.151138,-180.816589,66.500717
22946140,5.068179,-0.516868,15.680727,-59.220001,29.75,-2.38,127.712685,-181.222702,68.934914
22946160,-2.816453,-1.811431,9.301233,-31.290001,34.02,-8.68,125.53215,-184.574554,67.794609
22946175,1.55539,0.571905,10.827909,-11.48,13.09,-0.07,126.581764,-181.547668,69.866188
22946195,1.888005,1.060058,9.566847,-4.97,7.0,-0.91,125.772835,-183.282532,68.442581
22946215,1.500353,0.701122,10.423508,-12.95,5.25,1.82,121.943336,-183.990784,65.538971
22946235,1.270634,-0.557548,9.731957,-12.67,3.78,2.24,124.513084,-181.195343,69.802315
22946250,1.653499,-0.078966,10.423508,-4.62,3.43,1.4,123.235268,-182.591568,67.881142
22946270,1.083987,0.344579,10.212932,-4.06,3.01,0.98,125.543312,-182.97229,68.919678
22946290,1.541033,0.071787,10.021499,-5.74,2.17,1.68,124.233398,-183.815704,68.358383
