Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
1934282,-8.920761,0.126824,3.350071,9.520000,-5.110000,-9.030000,45.281490,-217.003204,-37.649212
1934302,-8.947083,0.119645,3.385965,13.090000,-4.970000,-11.340000,44.671288,-217.175095,-38.516708
1934322,-8.994942,0.126824,3.484074,15.820000,-4.830000,-13.510000,43.418346,-217.245941,-40.062923
1934342,-9.071514,0.119645,3.441002,17.710001,-5.040000,-15.260000,45.279739,-218.603500,-38.493618
1934357,-9.152873,0.165111,3.395537,18.900000,-5.390000,-16.730000,46.167877,-217.411514,-37.026596
1934377,-8.971012,0.227326,3.551076,20.020000,-6.230000,-18.760000,42.150814,-218.080475,-39.361244
1934397,-8.851367,0.220148,3.500824,20.719999,-7.140000,-20.510000,47.334721,-218.678894,-37.679638
1934417,-8.762830,0.148360,3.359643,21.210001,-6.860000,-22.190001,45.299011,-218.319641,-36.761204
1934432,-8.786758,0.155539,3.256748,21.139999,-7.000000,-23.870001,45.096893,-218.563217,-37.784325
1934452,-8.659934,0.172289,3.251962,20.230000,-7.420000,-25.410000,45.832539,-219.484039,-37.812294
1934472,-8.542682,0.114860,3.299820,18.900000,-7.000000,-26.880001,45.484821,-219.959244,-38.174576
1934492,-8.645576,-0.145967,3.261534,18.480000,-5.320000,-28.139999,44.632397,-213.983444,-38.090862
1934507,-8.607290,-0.270399,3.170603,20.440001,-3.850000,-29.820000,45.264290,-219.926895,-38.587921
1934527,-8.449359,-0.437902,3.158639,23.379999,-1.260000,-31.500000,45.073772,-218.288284,-37.314880
1934547,-8.621648,-0.605406,3.268713,27.160000,2.380000,-32.130001,44.221565,-221.072632,-38.503666
1934567,-9.018870,-0.720265,3.306999,31.920000,5.040000,-32.619999,45.241173,-219.651978,-38.118477
1934582,-9.102622,-0.744194,3.084459,36.049999,6.230000,-33.040001,46.238979,-216.635971,-37.590527
1934602,-8.973405,-0.646085,2.986349,37.730000,7.140000,-33.740002,48.533649,-220.979919,-35.852589
1934622,-8.839402,-0.772909,2.979171,36.750000,8.820000,-34.790001,46.124168,-218.740860,-37.962879
1934642,-9.090658,-1.014593,2.969599,37.240002,10.710000,-35.840000,46.340416,-218.494324,-36.518772
1934657,-9.160052,-1.064844,2.849954,40.950001,11.340000,-37.520000,46.128880,-218.739868,-37.822552
1934677,-8.966227,-0.983485,2.732701,44.099998,12.390000,-39.480000,46.063805,-218.193985,-37.444981
1934697,-9.172017,-1.119881,2.663307,45.290001,14.700000,-40.180000,45.107632,-217.240799,-37.830349
1934717,-9.645813,-1.241919,2.548447,47.529999,16.660000,-39.759998,47.538483,-221.355087,-37.033913
1934732,-9.944926,-1.184489,2.479053,50.119999,17.639999,-39.619999,44.775791,-216.112747,-36.927235
1934752,-9.978427,-1.081594,2.357014,50.400002,17.920000,-39.970001,44.601395,-221.150238,-39.501270
1934772,-9.916211,-1.139024,2.249334,49.910000,18.969999,-40.110001,47.909748,-220.874924,-35.969982
1934792,-10.205753,-1.148596,2.325907,50.820000,20.440001,-40.599998,46.558762,-220.406860,-38.120934
1934807,-10.311041,-1.261063,2.368979,52.849998,20.230000,-41.720001,45.120441,-218.558258,-37.082672
1934827,-10.078929,-1.323278,2.299585,55.160000,19.320000,-42.000000,47.038815,-219.143219,-36.498291
1934847,-10.153109,-1.328064,2.285227,57.189999,19.879999,-40.810001,46.340416,-218.494324,-36.518772
1934867,-10.638869,-1.354386,2.177546,59.010002,19.740000,-38.150002,46.878651,-219.657730,-37.429535
1934882,-10.653227,-1.380708,2.077044,60.340000,17.850000,-35.209999,46.477028,-217.984772,-36.289177
1934902,-10.425900,-1.332850,1.993292,59.990002,15.750000,-32.480000,47.595890,-220.302643,-36.847733
1934922,-9.980820,-1.332850,2.000471,57.959999,14.420000,-29.610001,45.209957,-218.058609,-38.256382
1934942,-9.729565,-1.541033,2.031579,55.930000,14.280000,-26.809999,48.605183,-219.924515,-35.245419
1934958,-9.497452,-1.727680,1.866468,56.139999,14.140000,-25.059999,49.213207,-221.632782,-36.393429
1934978,-9.320377,-1.754002,1.809039,58.730000,13.580000,-23.379999,48.018105,-220.371323,-36.582363
1934998,-9.164838,-1.751609,1.811431,61.950001,13.090000,-22.049999,45.659111,-219.441772,-36.822342
1935018,-9.061943,-1.823396,1.768359,65.169998,12.390000,-20.790001,48.246296,-222.001984,-36.732773
1935033,-9.088264,-1.895183,1.653499,68.180000,12.110000,-19.600000,47.453247,-222.133591,-36.890972
1935053,-9.332341,-1.878433,1.706143,70.559998,12.040000,-17.990000,46.202164,-216.084152,-36.370975
1935073,-10.026285,-1.691786,1.698965,70.279999,11.550000,-15.680000,45.617149,-219.170822,-36.914215
1935093,-10.490509,-1.454888,1.529068,64.820000,8.820000,-13.860000,45.633030,-217.567535,-35.648819
1935108,-10.342149,-1.296956,1.517104,54.250000,5.530000,-13.510000,47.711563,-217.638000,-34.133186
1935128,-9.973641,-1.584105,1.622392,43.680000,4.550000,-13.160000,49.651730,-219.818314,-33.691563
1935148,-9.765458,-1.935863,1.720501,39.619999,5.530000,-13.370000,49.690727,-218.489960,-32.895607
1935168,-9.550097,-1.955006,1.840146,41.650002,7.000000,-14.140000,49.962093,-223.591171,-34.502625
1935183,-9.322770,-2.086616,1.876040,48.160000,9.030000,-14.700000,47.211784,-219.946152,-34.819366
1935203,-9.160052,-2.232583,1.895183,57.610001,10.990000,-14.700000,48.417629,-219.885208,-34.676453
1935223,-9.200731,-2.345050,1.818610,69.230003,13.020000,-14.210000,47.192944,-219.950119,-35.380688
1935243,-9.270126,-2.311549,1.732466,81.480003,14.560000,-12.740000,47.942287,-221.147858,-36.158768
1935258,-9.284483,-2.120116,1.514711,91.279999,15.820000,-10.850000,50.055534,-219.611084,-32.816418
1935278,-9.712814,-1.926291,1.538640,94.709999,17.219999,-8.820000,47.672565,-218.966370,-34.929138
1935298,-10.394793,-1.608034,1.490782,91.419998,17.360001,-6.020000,49.193909,-222.397400,-34.285866
1935318,-10.521617,-1.543426,1.454888,82.739998,15.260000,-2.940000,48.797882,-219.682938,-34.502960
1935333,-10.337363,-1.466853,1.442924,70.209999,12.950000,0.770000,48.529804,-220.421158,-33.650723
1935353,-10.059786,-1.536247,1.560176,56.700001,11.410000,5.250000,48.385090,-219.612274,-34.487667
1935373,-9.767851,-1.758787,1.648714,45.150002,10.080000,9.450000,49.676918,-222.733063,-33.367302
1935393,-9.564454,-1.971756,1.720501,38.080002,8.960000,13.160000,48.441608,-219.600388,-32.803707
1935408,-9.327556,-2.060294,1.713322,36.189999,7.700000,15.960000,49.072746,-221.583557,-34.421162
1935428,-9.148088,-2.093795,1.725287,37.099998,6.580000,17.780001,47.882351,-220.321121,-34.469769
1935448,-9.088264,-2.038758,1.701358,38.009998,5.950000,18.830000,50.314522,-223.114975,-34.000019
1935468,-9.361056,-1.971756,1.773145,37.520000,5.320000,19.530001,48.944344,-218.891525,-32.821609
1935483,-9.765458,-1.770752,1.777931,34.230000,3.990000,19.389999,49.167831,-220.523193,-33.112343
1935503,-10.071750,-1.608034,1.792288,26.389999,1.610000,17.990000,47.261410,-221.815414,-35.291245
