Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
5294418,2.553233,1.911934,-0.110074,45.990002,-169.050003,-29.540001,71.202454,-234.551971,-48.643883
5294433,1.907148,1.80186,0.770516,42.91,-144.130005,-23.59,71.498367,-234.087662,-49.825233
5294453,1.87604,1.9909,-0.708301,44.73,-123.410004,-20.02,71.979622,-236.023621,-49.75108
5294473,2.110545,2.639378,-1.825789,36.400002,-98.559998,-12.04,72.841682,-232.957428,-47.110531
5294493,1.955006,3.153853,-2.242155,6.86,-70.699997,0.14,72.881462,-235.108536,-49.034164
5294508,1.581712,3.015064,-2.893026,-24.08,-41.93,9.8,72.347504,-234.22403,-49.154167
5294528,1.282599,2.380944,-3.204104,-43.400002,-10.08,17.01,74.722374,-233.550323,-47.648792
5294548,1.299349,1.955006,-3.034207,-47.880001,24.15,22.75,73.101982,-235.1409,-48.620819
5294568,0.935627,1.897576,-2.924134,-48.439999,59.990002,29.4,75.199356,-235.207397,-46.543869
5294583,0.531226,1.943041,-2.60827,-57.400002,94.919998,35.630001,74.476089,-235.883881,-46.939316
5294603,0.483367,1.619999,-2.110545,-73.43,129.360001,39.060001,71.959572,-232.828003,-48.763908
5294623,0.153146,1.079202,-1.366351,-92.190002,164.850006,43.049999,72.015663,-233.095978,-48.251049
5294643,-0.514475,0.45226,-0.524047,-106.610001,200.690002,52.009998,71.61393,-235.943039,-48.332489
5294658,-0.701122,-0.234505,0.418759,-115.639999,234.009995,62.790001,69.042076,-236.579453,-49.549557
5294678,-0.739409,-0.959556,1.998078,-118.720001,265.929993,76.440002,69.726349,-237.231308,-49.950066
5294698,-1.732466,-1.864075,4.034443,-118.650002,297.709991,92.120003,64.722755,-234.793976,-50.46579
5294718,-2.823632,-1.588891,5.98227,-113.540001,319.480011,106.330002,65.160309,-238.05928,-51.327919
5294733,-3.455359,-1.981328,6.925076,-130.619995,330.540009,122.360001,64.366478,-234.711411,-48.766541
