Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
3531183,4.331164,-3.362036,13.797508,4.9,29.960001,21.559999,59.052284,-238.022049,-47.074829
3531203,3.512789,-3.596541,12.847524,6.65,17.85,11.2,58.849281,-239.306137,-46.600163
3531223,3.079673,-3.577398,11.945397,16.24,6.51,6.09,59.594883,-235.42511,-43.954578
3531243,2.543661,-2.744666,11.567318,25.129999,-0.77,4.55,59.087326,-240.654938,-45.298813
3531258,2.160796,-2.543661,11.134201,23.940001,-6.58,1.75,58.735893,-235.570602,-46.077404
3531278,1.856897,-2.639378,10.863803,18.200001,-11.34,-0.77,57.329144,-239.074661,-48.791924
3531298,1.356779,-2.586734,10.641262,13.02,-15.61,-1.4,59.755821,-238.39006,-45.742916
3531318,0.794446,-2.778166,10.440258,11.13,-21.280001,-0.35,59.053925,-240.941757,-47.452217
3531333,0.028715,-2.988742,9.909033,11.48,-26.74,1.61,58.453251,-236.591675,-46.817257
3531353,-0.564726,-2.656128,9.581204,15.12,-33.040001,7.07,57.299671,-235.881027,-48.085419
3531373,-0.796838,-2.096188,9.358664,17.99,-38.779999,13.3,58.288383,-237.107147,-47.888832
3531393,-1.103131,-1.689393,9.01887,17.219999,-41.09,19.809999,59.864174,-237.886475,-46.355305
3531408,-1.146203,-1.591284,8.435001,13.09,-41.509998,28.139999,60.120197,-239.791061,-46.834824
3531428,-1.048094,-1.873647,7.920526,3.5,-40.25,36.400002,60.471416,-236.11528,-44.783726
3531448,-0.811196,-1.363958,7.207439,-4.41,-34.650002,48.650002,60.399452,-237.450546,-46.561989
3531468,-0.646085,-1.447709,6.59964,-8.05,-23.870001,61.810001,60.758228,-239.893082,-46.29644
3531483,-0.760945,-2.225405,6.736036,-10.36,-12.46,73.43,59.425301,-235.941589,-45.166489
3531503,-0.670014,-2.309156,6.891575,-4.41,-2.1,88.410004,60.267982,-237.679245,-45.48016
3531523,-0.248862,-1.957399,6.934648,7.42,10.5,106.260002,59.370857,-238.593323,-46.056744
3531543,-0.165111,-1.957399,7.348621,14.28,24.92,122.220001,58.990597,-238.795593,-46.230236
3531558,-0.150753,-1.914326,7.934883,16.379999,38.43,137.759995,58.32267,-235.7798,-47.233208
3531578,-0.112467,-2.273263,8.478073,19.530001,50.330002,151.690002,60.091591,-236.037674,-43.786125
3531598,-0.356543,-3.603719,9.593168,26.74,58.799999,160.860001,55.770977,-235.091827,-48.215645
3531618,-0.993057,-4.553704,10.454616,39.830002,61.18,166.600006,56.634243,-235.22522,-47.123589
3531633,-0.201004,-4.3527,10.526402,53.41,57.400002,172.059998,56.034325,-234.835373,-45.368237
3531653,1.289778,-3.82626,11.148559,55.790001,53.900002,173.460007,56.656475,-236.540665,-46.095249
