Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
23001253,-2.416837,2.802095,9.918604,-64.610001,-163.729996,44.59,99.609032,-168.42514,72.9338
23001273,-1.495568,2.048329,11.371099,-52.43,-164.639999,40.529999,98.839554,-168.071014,69.637268
23001288,-1.0122,1.366351,11.342384,-28.07,-159.949997,34.720001,102.31916,-169.718124,70.163094
23001308,-1.244312,2.804488,10.777658,-6.09,-154.559998,30.52,106.051399,-171.950409,69.742386
23001328,-0.717872,3.565433,11.497924,3.43,-151.130005,26.389999,107.458504,-172.205643,68.566223
23001348,0.193826,3.914798,11.591247,-0.63,-146.369995,22.120001,109.085243,-173.533798,69.301193
23001363,0.799231,3.156246,11.90711,-9.8,-140.279999,19.460001,108.91787,-171.689331,66.264816
23001383,1.311314,2.498196,12.337834,-8.4,-132.089996,15.89,114.196434,-171.507278,68.084145
23001403,1.775538,2.761416,12.63934,1.61,-121.520004,11.2,114.94281,-171.105713,68.010147
23001423,2.072258,3.086851,12.3833,2.94,-109.690002,8.47,115.958595,-168.645493,66.757225
23001438,2.218226,2.873883,12.328262,-3.43,-98.349998,7.98,120.585754,-172.324646,68.737564
23001458,2.409658,2.538876,12.345013,-11.97,-87.290001,9.38,120.882439,-175.339798,64.836632
23001478,2.234976,2.404873,12.024364,-15.47,-76.370003,9.1,124.267044,-174.008102,69.115417
23001498,2.146439,2.500589,12.081793,-12.32,-66.709999,6.72,124.468727,-174.044418,68.967445
23001513,2.313942,2.280442,11.533817,-6.65,-57.400002,3.22,124.037102,-173.977722,68.42141
23001533,1.888005,2.153617,10.600583,-3.15,-50.189999,0.7,125.053635,-175.477768,68.288879
23001553,1.598463,2.014829,10.01432,-4.55,-47.529999,-0.21,124.820724,-173.848099,68.298958
23001573,2.799702,-0.777695,11.902325,21.42,-39.130001,-3.57,127.741936,-175.656204,69.500916
23001588,3.3405,5.939198,16.030092,5.11,-9.66,-3.71,126.047623,-171.422226,67.178719
23001608,1.167739,0.256041,11.23231,-6.02,6.51,-8.68,129.422272,-174.892365,68.783943
23001628,0.717872,2.617841,10.248825,-13.440001,6.44,-6.3,127.766373,-174.610703,68.704781
23001648,0.914091,1.134238,9.404129,-13.72,2.87,-1.96,127.153214,-173.183304,68.541359
23001664,1.191668,1.775538,9.308413,-7.28,-0.77,-1.47,126.02964,-170.86644,68.959587
23001684,1.21799,1.844932,9.79178,-0.98,-3.01,-0.98,126.793121,-172.061188,68.602501
23001704,1.134238,1.541033,10.33497,3.36,-3.08,-0.49,126.535767,-171.47702,69.408707
23001724,1.016986,1.392673,10.31822,4.62,-2.45,-0.91,128.226273,-174.671463,70.092789
