Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
22989670,1.083987,-0.13161,10.110037,0.84,-2.17,0.98,127.746078,-180.935883,71.088326
22989690,1.064844,-0.184254,10.141145,0.98,-2.17,1.05,130.859238,-178.542191,71.912354
22989710,1.067237,-0.11486,10.100465,1.05,-2.24,0.84,128.127228,-179.693085,69.76403
22989725,1.093559,-0.124431,10.081322,0.98,-2.38,0.7,127.412064,-181.687988,69.975937
22989745,1.072023,-0.13161,10.11243,1.12,-2.38,0.7,130.632675,-179.831238,71.685364
22989765,1.079202,-0.11486,10.07175,1.19,-2.45,0.7,127.856178,-178.832001,71.320351
22989785,1.081594,-0.136396,10.143538,1.54,-2.52,0.7,130.320892,-181.898788,71.601311
22989800,1.112702,-0.112467,10.088501,1.54,-2.59,0.7,127.386757,-183.293243,68.429878
22989820,1.098345,-0.102895,10.088501,1.12,-2.73,0.56,128.464096,-185.060272,68.950539
22989840,1.081594,-0.11486,10.141145,1.05,-2.8,0.56,128.644531,-178.701385,71.338219
22989860,1.043308,-0.107681,10.117215,1.26,-3.15,0.77,128.855515,-183.255722,70.249107
22989875,1.095952,-0.136396,10.124394,1.26,-3.43,1.05,129.092819,-180.644287,70.430069
22989895,1.139024,-0.086145,10.045428,1.12,-4.06,1.61,128.426956,-180.268326,70.220795
22989915,1.091166,-0.050251,10.01432,0.7,-5.04,2.1,128.874466,-178.731766,72.032227
22989935,1.179704,-0.05743,9.794173,-0.28,-7.07,2.1,127.683533,-182.269196,69.590721
22989950,1.447709,-0.059823,9.564454,-2.38,-10.22,2.73,129.023026,-180.099411,70.667305
22989970,1.478817,0.090931,9.758279,-6.37,-12.25,3.01,130.08667,-181.589539,71.938072
22989990,1.557783,0.284756,10.823123,-15.96,-12.39,5.04,129.564224,-182.862091,69.05246
22990010,1.605641,-0.069394,10.997806,-17.57,-10.85,6.51,128.61319,-181.628036,69.978516
22990025,1.036129,-0.696336,10.122002,-9.17,-8.26,3.99,128.327591,-181.04982,69.942741
22990045,1.158167,-0.868626,10.059786,1.26,-7.35,2.03,128.347641,-184.245438,68.955582
22990065,1.083987,-0.593441,9.832459,10.92,-5.67,0.91,127.845016,-180.43428,70.195274
22990085,0.902126,0.064609,9.990392,12.39,-4.27,0.49,128.236755,-182.869858,71.443138
22990100,0.997843,0.038287,10.169859,6.93,-3.57,-0.56,129.156998,-182.230682,71.550278
22990120,0.957163,-0.504904,10.105251,1.4,-3.08,-1.12,130.096085,-181.587555,72.218735
22990140,1.220383,-0.466617,10.021499,0.98,-3.08,-1.33,128.543411,-181.08316,70.215759
22990160,1.42378,0.122038,10.14593,2.59,-2.73,-1.61,129.40625,-181.496429,70.136719
22990175,1.383101,0.155539,10.023892,1.19,-2.52,-1.26,129.537262,-182.028412,71.72377
22990195,1.471638,0.071787,10.442651,1.19,-3.15,-0.91,127.995758,-179.921753,70.845863
22990215,1.569748,0.483367,10.586226,3.78,-4.13,-1.89,129.8452,-179.402115,74.009682
22990235,1.974149,0.555155,11.069592,2.66,-4.69,-0.91,131.197861,-182.309082,71.943268
22990250,2.062687,1.189275,11.251453,-1.61,-4.97,0.35,131.048859,-181.221313,72.137085
22990270,2.988742,2.019614,12.120079,-16.73,-0.21,3.57,130.299088,-180.303467,71.744072
22990290,5.613762,2.383337,13.33807,-36.259998,7.42,4.48,131.044144,-181.222305,71.996758
22990310,4.725994,1.751609,13.764008,-69.160004,28.84,10.57,128.905258,-180.60498,70.999031
22990326,5.130395,0.361329,15.137537,-79.800003,50.400002,10.57,128.434631,-181.866638,69.657051
22990346,4.481917,0.6748,15.745336,-62.299999,75.529999,4.06,127.988403,-182.563568,71.358902
22990366,3.859761,1.153382,15.259575,-48.860001,96.110001,-1.12,126.336334,-183.321472,72.917854
22990386,3.737722,1.103131,15.02507,-47.32,112.910004,-4.34,126.570564,-183.630737,72.5811
22990401,3.484074,0.569512,14.166016,-50.68,128.940002,-7.56,125.209694,-183.925308,72.818367
22990421,2.79731,0.145967,13.529502,-52.57,143.710007,-11.97,125.944885,-185.606812,75.459267
22990441,1.708536,-0.332614,13.038957,-48.02,154.070007,-18.9,121.87941,-187.606094,72.048012
22990461,1.306528,-1.088773,12.53166,-31.5,159.529999,-27.51,119.375244,-186.628326,73.639969
22990476,1.055272,-1.268241,12.206224,-8.96,163.869995,-36.259998,117.147728,-185.470093,72.318161
22990496,0.784874,-1.773145,11.426136,12.32,168.770004,-44.73,114.72747,-185.03421,74.093872
22990516,0.095716,-1.85929,10.344542,23.59,172.410004,-52.779999,113.28434,-187.706619,73.769997
22990536,-0.969128,-2.23019,9.480701,27.440001,171.779999,-59.920002,110.823021,-185.959244,73.956047
22990551,-1.397458,-2.708772,9.327556,34.09,168.559998,-67.129997,107.937737,-185.743484,73.032318
22990571,-1.603248,-3.239998,8.437394,45.779999,166.320007,-74.900002,107.929184,-185.18573,75.093857
22990591,-2.153617,-3.318964,7.741058,56.209999,163.309998,-81.760002,106.15377,-187.009964,74.501999
22990611,-2.713558,-3.560647,7.059079,67.970001,158.339996,-87.919998,103.584991,-184.725632,73.802658
22990626,-3.223247,-3.455359,6.826967,81.970001,152.110001,-94.779999,103.547287,-185.214371,76.519989
22990646,-3.543897,-3.323749,6.025342,89.949997,145.25,-101.010002,100.493744,-184.194687,74.057671
22990666,-3.804724,-3.464931,5.764515,89.32,137.410004,-106.050003,96.158653,-179.492477,73.097839
22990686,-4.027264,-2.92892,5.460616,79.169998,130.130005,-108.989998,97.793488,-182.139053,74.440155
22990701,-4.383808,-2.689629,5.087323,57.75,123.970001,-110.669998,94.223946,-181.271439,73.916931
22990721,-4.718815,-3.165817,4.836067,40.740002,118.580002,-112.279999,97.385941,-177.267517,76.98867
22990741,-4.802567,-2.971992,4.266555,28.91,114.449997,-114.660004,96.877609,-179.017914,78.364029
22990761,-5.082537,-3.35725,4.099051,23.309999,110.25,-117.949997,93.354301,-178.700119,76.901917
22990776,-5.374472,-3.316571,3.653971,24.08,107.309998,-122.709999,96.249313,-183.154022,78.055595
22990796,-5.723836,-2.90499,3.108388,25.059999,101.989998,-127.68,92.825371,-182.054749,76.871536
22990816,-5.599405,-3.096423,2.967206,24.01,94.989998,-132.649994,93.969963,-182.487488,79.030136
22990836,-5.721443,-3.441002,2.491017,22.540001,87.43,-138.180008,94.706039,-183.128448,80.173256
22990851,-6.073201,-3.338107,1.995685,17.57,78.75,-143.639999,92.798294,-185.741089,78.321045
22990871,-5.819552,-3.69465,1.964578,8.4,68.459999,-149.240005,93.366966,-185.018372,80.267769
22990891,-5.604191,-3.744901,1.988507,-3.01,60.34,-154.770004,95.721687,-185.669037,81.538513
22990911,-5.338578,-4.170839,1.945434,-9.94,54.389999,-160.580002,95.508827,-187.234985,80.561417
22990926,-4.900676,-4.960498,1.615213,-10.92,48.369999,-167.580002,95.276352,-185.325439,81.742584
22990946,-4.611134,-5.123216,1.418995,-10.78,40.810001,-175.070007,97.978676,-190.020905,82.153809
22990966,-3.967442,-5.350543,1.572141,-12.74,33.670002,-181.930008,97.901215,-187.877731,82.954803
22990986,-3.656363,-5.81716,1.660678,-10.08,28.42,-189.910004,98.076294,-190.839706,81.587448
22991001,-2.907383,-6.523067,1.55539,-0.42,23.799999,-198.380005,100.510208,-192.033264,82.901611
22991021,-2.191904,-6.503924,1.823396,0.42,17.92,-203.910004,103.890442,-194.461884,83.149391
22991041,-1.136631,-7.875061,2.053115,-6.09,12.39,-204.190002,102.674324,-195.084564,80.383621
22991061,-0.643692,-8.880082,2.414444,-9.8,8.4,-199.779999,107.166725,-193.152969,84.200584
22991077,-0.397223,-9.987998,2.754237,-7.84,6.23,-192.5,107.743958,-192.988007,84.08577
22991097,-0.576691,-10.624512,2.730308,-0.49,5.46,-183.259995,112.643471,-196.207809,84.183113
22991117,-0.763338,-10.859017,2.558019,7.42,4.62,-171.080002,113.212173,-195.004288,82.289864
22991137,-0.765731,-10.746551,2.766202,7.98,3.15,-155.190002,115.684341,-190.909271,83.279587
22991152,-0.739409,-11.038485,3.194532,0.49,2.38,-136.080002,117.057907,-196.452118,82.568192
22991172,-0.887769,-11.337599,3.292642,-8.12,2.1,-114.870003,121.894096,-197.525757,83.88752
22991192,-0.873411,-11.607997,3.304606,-15.54,-0.28,-93.940002,123.516235,-194.3349,85.703957
22991212,-0.804017,-12.007613,3.732937,-16.940001,-2.8,-75.389999,123.151001,-193.493668,84.453667
22991227,-0.741802,-12.345013,4.096659,-9.38,-4.41,-59.709999,124.158546,-194.71582,85.211571
22991247,-0.739409,-12.201438,4.125373,0.42,-5.11,-47.110001,125.297569,-195.70929,84.88765
